재산피해금액,화재발생일자,화재진압시간,현장소방서거리,발생장소_시도,발생장소_시군구,발생장소_읍면,읍면동구분명,발화원인,발화열원명,발화요인소분류명,발화요인대분류명,발화열원소분류명,최초착화물대분류명,전체인력수합계,날씨,온도,습도,시간단위풍속,시간단위풍향,특보내용,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,산림면적,계절,물가상승배수
0,20170604,25310,10,강원,인제,인제,고사리,기타,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,88,맑음,22,27,180,4,,일,2017,6,4,16:00,북부,고사,입,등산객실화,,0.3,"41,482",여름,0.976
0,20170604,22124,40,강원,화천,사내,용담리,기타,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,54,맑음,24,30,0,4,,일,2017,6,4,13:45,강원,용담,입,등산객실화,,0.1,"31,778",여름,0.976
492,20170604,14326,17,강원,철원,근남,잠곡리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,70,맑음,24,19,315,4,,일,2017,6,4,14:08,북부,잠곡,담,담뱃불실화,,0.01,"37,983",여름,0.976
0,20170619,1020,46,강원,강릉,왕산,대기리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,73,구름조금,29,35,225,4,,월,2017,6,19,13:00,강원,대기,입,기타(직접입력),입산자 실화,0.01,"37,109",여름,0.976
0,20170619,15802,36,강원,홍천,서석,수하리,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,108,구름조금,20,72,45,4,,월,2017,6,20,0:00,강원,수하,쓰,쓰레기소각,,0.24,"65,341",여름,0.976
0,20170621,13658,3,강원,철원,갈말,문혜리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,68,맑음,29,33,225,4,,수,2017,6,21,16:10,강원,문혜,입,기타(직접입력),입산자 실화,0.01,"37,983",여름,0.976
289,20170622,4614,12,강원,양양,서,내현리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,119,구름조금,27,53,0,4,,목,2017,6,22,18:00,강원,내현,입,기타(직접입력),입산자 실화(조사중),0.02,"16,034",여름,0.976
0,20170623,11917,25,강원,횡성,갑천,병지방리,입산자실화,미상,미상,부주의,부주의,종이/목재/건초등,57,구름조금,32,34,270,4,,금,2017,6,23,18:00,북부,병지방,입,기타(직접입력),입산자 실화,0.01,"44,302",여름,0.976
0,20180622,14306,60,강원,양구,남,원리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,109,맑음,32,10,180,4,,금,2018,6,22,19:30,북부,원,입,기타(직접입력),입산자 실화,0.05,"19,868",여름,0.976
0,20180622,254,23,강원,인제,남,관대리,입산자실화,담뱃불/라이터불,담뱃불/라이터불,부주의,부주의,종이/목재/건초등,42,구름조금,21,61,225,4,,금,2018,6,23,23:30,북부,관대,입,기타(직접입력),입산자 실화,0.54,"41,482",여름,0.976
64,20180623,24112,27,강원,춘천,북산,추곡리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,61,맑음,29,41,225,4,,토,2018,6,23,20:00,북부,추곡,입,기타(직접입력),입산자 실화,0.01,"51,062",여름,0.976
0,20180624,33029,8,강원,홍천,북방,화동리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,138,맑음,33,30,225,4,,일,2018,6,24,20:00,강원,화동,입,기타(직접입력),입산자 실화,1,"65,341",여름,0.976
0,20180624,10102,26,강원,홍천,내촌,화상대리,미상,미상,미상,미상,미상,종이/목재/건초등,79,맑음,31,35,225,4,,일,2018,6,24,20:00,북부,화상대,입,기타(직접입력),입산자 실화,0.15,"65,341",여름,0.976
2307,20190604,20224,19,강원,정선,화암,화암리,담뱃불,미상,미상,미상,미상,종이/목재/건초등,171,맑음,29,21,180,4,,화,2019,6,4,15:26,강원,화암,입,입산자 실화추정,,0.2,"36,723",여름,0.976
0,20200608,21904,59,강원,춘천,동,품걸리,미상,미상,미상,미상,미상,종이/목재/건초등,49,맑음,32,45,270,4,,월,2020,6,8,19:15,북부,품걸,입,기타(직접입력),입산자실화 추정,0.1,"51,062",여름,0.976
0,20200613,23157,8,강원,춘천,동,월곡리,입산자실화,미상,미상,미상,미상,미상,87,맑음,34,25,270,4,,토,2020,6,13,18:00,북부,원곡,입,기타(직접입력),입산자실화,0.4,"51,062",여름,0.976
0,20200623,10836,10,강원,홍천,동,속초리,미상,미상,미상,미상,미상,미상,133,맑음,28,59,270,4,,화,2020,6,23,13:30,북부,속초,입,기타(직접입력),입산자실화 추정,0.15,"65,341",여름,0.976
223,20210607,12539,22,강원,강릉,주문진,향호리,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,50,맑음,25,62,225,4,,월,2021,6,7,17:00,강원,향호,쓰,쓰레기소각,,0.01,"37,109",여름,0.976
223,20210607,12539,22,강원,강릉,주문진,향호리,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,50,맑음,25,62,225,4,,월,2021,6,7,16:00,강원,향호,기,기타(직접입력),원인미상,0.01,"37,109",여름,0.976
223,20210607,12539,21,강원,강릉,주문진,향호리,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,50,맑음,25,62,225,4,,월,2021,6,7,17:00,강원,향호,쓰,쓰레기소각,,0.01,"37,109",여름,0.976
223,20210607,12539,21,강원,강릉,주문진,향호리,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,50,맑음,25,62,225,4,,월,2021,6,7,16:00,강원,향호,기,기타(직접입력),원인미상,0.01,"37,109",여름,0.976
0,20210608,12515,26,강원,홍천,내촌,화상대리,기타,자연적발화열,낙뢰,자연적인요인,자연적재해,종이/목재/건초등,48,맑음,19,78,45,4,,화,2021,6,8,17:00,강원,화상대,기,낙뢰,,0.04,"65,341",여름,0.976
0,20210608,12515,26,강원,홍천,내촌,화상대리,기타,자연적발화열,낙뢰,자연적인요인,자연적재해,종이/목재/건초등,48,맑음,18,78,45,4,,화,2021,6,8,17:00,강원,화상대,기,낙뢰,,0.04,"65,341",여름,0.976
